Wavelenght,C 1.1,DH1R,DH2.1T,DH3.1,H1Bl Hair,H1c- hair,H2.1T Hair,N1TT_good,N2.2ML_28,N3.1TT,N3.1TT_Good,R1_22,R1Sc_24,R2_good,R3.1TStraw,R4.1_23,R5_17,R6_18,R7_20,SP2.1E,SP13.1C,SP13.2B,SP-bev,SS 1.1,UN1
549.854231,91.596495,97.263043,70.280491,97.784878,87.75886,89.04915,80.518612,79.256029,88.842969,98.709967,79.310039,96.14175,85.254959,91.011651,95.295823,82.755403,89.561115,2.852216,48.186917,87.858431,95.416718,85.06081,99.815277,87.268006,86.242301
550.09529,91.615255,97.26159,70.335232,97.784781,87.755211,89.052009,80.56707,79.309201,88.850669,98.705572,79.322643,96.15323,85.293353,91.031792,95.310541,82.784282,89.57879,2.856749,48.284983,87.924449,95.431686,85.075687,99.819187,87.293742,86.324253
550.336348,91.633142,97.259638,70.389498,97.784641,87.751824,89.055057,80.615182,79.361832,88.858334,98.701186,79.335464,96.164769,85.332198,91.051779,95.323977,82.812571,89.596215,2.861915,48.382035,87.988342,95.445637,85.090046,99.823048,87.31905,86.403565
550.577407,91.650131,97.257337,70.443259,97.784488,87.748896,89.058298,80.663,79.414016,88.866065,98.696857,79.348648,96.176369,85.371549,91.0717,95.3361,82.840239,89.613442,2.867713,48.478071,88.050149,95.458634,85.103814,99.826745,87.343946,86.480221
550.818465,91.666207,97.254825,70.496492,97.784347,87.746615,89.061731,80.710571,79.465838,88.873954,98.692624,79.362318,96.188016,85.411447,91.091633,95.346898,82.867255,89.630508,2.87413,48.573087,88.109921,95.470752,85.116932,99.830164,87.368442,86.554232
551.059523,91.681363,97.252233,70.549178,97.784234,87.745155,89.065348,80.757939,79.517376,88.882078,98.688514,79.376573,96.19968,85.451914,91.11163,95.356384,82.893582,89.647433,2.881135,48.667088,88.167719,95.482077,85.129365,99.833196,87.392543,86.625643
551.300582,91.695602,97.249671,70.601299,97.784157,87.744666,89.069137,80.80514,79.568692,88.890498,98.684543,79.39149,96.211315,85.49295,91.131724,95.364589,82.91918,89.664224,2.888686,48.760075,88.223612,95.492709,85.1411,99.835739,87.416249,86.694534
551.54164,91.708934,97.247227,70.65284,97.784115,87.745275,89.073082,80.852199,79.619839,88.899256,98.680718,79.407115,96.222867,85.53454,91.151915,95.371562,82.944006,89.680866,2.896726,48.852055,88.277685,95.502754,85.15215,99.837702,87.439553,86.761014
551.782699,91.721378,97.244968,70.703784,97.784103,87.747081,89.077162,80.899134,79.670853,88.908375,98.677039,79.423468,96.234268,85.576647,91.172178,95.377367,82.968015,89.697333,2.905187,48.943032,88.330035,95.512329,85.162556,99.839008,87.462439,86.825225
552.023757,91.732957,97.242932,70.754111,97.784105,87.750148,89.081358,80.94595,79.721757,88.917858,98.673496,79.440541,96.245444,85.619219,91.192457,95.382077,82.99116,89.713583,2.913988,49.033014,88.380771,95.521551,85.172379,99.839599,87.484887,86.887333
552.264816,91.743702,97.241131,70.803797,97.784103,87.75451,89.085649,80.992639,79.772562,88.927691,98.670074,79.458298,96.256317,85.662186,91.212671,95.385776,83.013394,89.729567,2.923038,49.122006,88.430016,95.530543,85.181708,99.839434,87.506866,86.947532
552.505874,91.753649,97.239552,70.852812,97.784071,87.760165,89.090012,81.03918,79.82327,88.93784,98.666754,79.476679,96.266812,85.70547,91.232712,95.388553,83.034673,89.745222,2.932238,49.210016,88.477902,95.539425,85.19065,99.838492,87.528343,87.00603
552.746932,91.762838,97.238155,70.901121,97.783983,87.767079,89.094428,81.085543,79.873871,88.948257,98.663512,79.495605,96.276853,85.748982,91.252454,95.3905,83.054956,89.760487,2.941478,49.297048,88.524571,95.548313,85.199329,99.836772,87.549277,87.063054
552.987991,91.771316,97.23688,70.948685,97.78381,87.775188,89.098877,81.131684,79.924352,88.95888,98.660325,79.514974,96.286375,85.792627,91.271756,95.391708,83.074213,89.775296,2.950646,49.383112,88.570172,95.557319,85.207881,99.834294,87.569628,87.118835
553.229049,91.779132,97.235648,70.995458,97.783525,87.784401,89.103341,81.177551,79.974695,88.96964,98.657166,79.534671,96.295318,85.836308,91.290467,95.392268,83.092419,89.789586,2.959623,49.468212,88.614856,95.566545,85.216451,99.831096,87.589354,87.173611
553.470108,91.786342,97.234367,71.041393,97.783102,87.794603,89.107802,81.223081,80.024882,88.980457,98.654012,79.554571,96.303639,85.879928,91.308438,95.392268,83.109563,89.803303,2.968289,49.552358,88.658776,95.576081,85.225183,99.827232,87.608413,87.227614
553.711166,91.793004,97.232934,71.086441,97.782519,87.805663,89.112241,81.26821,80.074897,88.991252,98.650838,79.574538,96.311307,85.923394,91.325523,95.39179,83.125647,89.816401,2.976525,49.635556,88.702083,95.586006,85.234219,99.822774,87.626769,87.281073
