Site,Quadrat,Count,Mass
S1,Q1,8,233.9
S1,Q2,7,92.8
S1,Q3,12,73.3
S1,Q4,1,2.4
S1,Q5,6,335.9
S1,Q6,6,139.5
S1,Q7,40,500.5
S1,Q8,7,35.3
S1,Q9,8,235.9
S1,Q10,26,448.4
S2,Q1,34,323.2
S2,Q2,31,405.63
S2,Q3,33,1026.19
S2,Q4,18,1492.62
S2,Q5,28,160.94
S2,Q6,31,568.7
S2,Q7,28,407
S2,Q8,25,1252.2
S2,Q9,17,1590.6
S2,Q10,17,214.9
S3,Q1,15,1334.95
S3,Q2,20,132.35
S3,Q3,16,320.06
S3,Q4,7,350.1
S3,Q5,10,110.4
S3,Q6,35,79.5
S3,Q7,32,328.16
S3,Q8,9,27.84
S3,Q9,14,99.45
S3,Q10,12,99.6
S5,Q1,39,1216.9
S5,Q2,27,198
S5,Q3,14,663.6
S5,Q4,37,813.53
S5,Q5,69,1168.41
S5,Q6,41,553.23
S5,Q7,29,144.4
S5,Q8,26,633.3
S5,Q9,42,681.1
S5,Q10,33,545.93
S8,Q1,56,833.4
S8,Q2,64,1405.9
S8,Q3,25,490.6
S8,Q4,28,518.25
S8,Q5,53,858.13
S8,Q6,13,153.4
S8,Q7,56,701.5
S8,Q8,8,180.35
S8,Q9,11,62.4
S8,Q10,13,600.9
S9,Q1,27,1263.4
S9,Q2,15,870.7
S9,Q3,20,1024.4
S9,Q4,8,215.7
S9,Q5,13,344.1
S9,Q6,30,1339.3
S9,Q7,48,400.1
S9,Q8,19,845.1
S9,Q9,43,434.62
S9,Q10,41,1063.8
S10,Q1,12,184.2
S10,Q2,21,580.9
S10,Q3,24,730.7
S10,Q4,10,40.2
S10,Q5,11,807
S10,Q6,16,1506.1
S10,Q7,14,810.9
S10,Q8,4,62.6
S10,Q9,12,605
S10,Q10,14,108.1
S13,Q1,34,631.8
S13,Q2,49,334.45
S13,Q3,32,1235.03
S13,Q4,51,381.02
S13,Q5,30,616.61
S13,Q6,39,490.65
S13,Q7,33,424.5
S13,Q8,9,40.8
S13,Q9,12,76.1
S13,Q10,8,70.7
